FID,the_geom,FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,STATE,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,EURO_MMBO,EURG_TCFG,EURC_MMBO,HL10_MMBOE,HL20_MMBOE,HL50_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_NAME,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,AGE_CODE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE,TRAP_DESC,REFERENCES,COMMENTS
giant_oil_and_gas_fields_of_the_world_co_yxz.1,POINT (-92 26),995,Julia,,A,NORTH AMERICA,United States,USA - Gulf of Mexico Deepwater,26,-92,C,Offshore,2007,Oil,Giant,1000,1000,1000,-99999.99,-99999.99,1000,1000,1000,5097,Gulf Cenozoic OCS,BS000000271,WEST GULF COAST TERTIARY,TYPE 1,,UNKNOWN,,Unknown,,,,,-99999.99,-99999.99,Unknown,,,1203,
giant_oil_and_gas_fields_of_the_world_co_yxz.2,POINT (11.86126 -8.828139),996,Pazflor,,F,AFRICA,Angola,,-8.828139,11.86126,C,Offshore,2008,Oil,Giant,590,590,590,-99999.99,-99999.99,590,590,590,7203,West-central Coastal,BS000000048,KWANZA,TYPE 1,,UNKNOWN,,Unknown,,,,,-99999.99,-99999.99,Unknown,,,,
giant_oil_and_gas_fields_of_the_world_co_yxz.3,POINT (47.266667 31.1),1,West Qurna,,E,MIDDLE EAST,Iraq,,31.1,47.266667,B,Onshore,1973,Oil,Supergiant,11374.167,4204.653,9800,9.445,-99999.99,1327.164,3885.279,7401.515,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 1,,CARBONATE,marly limestones,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,12139,3.7,Structural,Anticline,Anticlinal shoals,"3, 38, 73, 74, 75, 883, 949",
giant_oil_and_gas_fields_of_the_world_co_yxz.4,POINT (72.1 19.166667),2,Bassein,,G,ASIA AND OCEANIA,India,,19.166667,72.1,B,Offshore,1977,Gas,Giant,1362.613,560.556,-99999.99,6.981,199,209.78,534.649,937.24,8043,Bombay,BS000000028,MUMBAI - SAURASHTRA,TYPE 2,,CARBONATE,limestone,Cenozoic,Neogene,Miocene,,CZ_NG_MIO,6000,1.83,Structural,Anticline,,"2, 3, 290, 291",
giant_oil_and_gas_fields_of_the_world_co_yxz.5,POINT (49.87899 30.99227),3,Karanj,,E,MIDDLE EAST,Iran,,30.99227,49.87899,B,Onshore,1963,Gas,Supergiant,6513.94,1881.263,5731.5,4.695,-99999.99,380.087,1573.488,3690.214,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,5492,1.67,Structural,Anticline,,"1, 2, 3, 38, 653, 646, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.6,POINT (49.861275 30.389358),4,Rag-E-Safid,,E,MIDDLE EAST,Iran,,30.389358,49.861275,A,Onshore,1964,Gas,Supergiant,14980.602,4429.4,4995.5,59.911,-99999.99,936.839,3746.253,8605.109,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4400,1.34,Structural,Anticline,,"1, 2, 3, 62, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.7,POINT (50.01747 30.56692),5,Pazanan,,E,MIDDLE EAST,Iran,,30.56692,50.01747,B,Onshore,1936,Gas,Supergiant,6657.933,1095.06,1854.6,28.82,-99999.99,59.809,631.037,2594.332,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,dolomitic limestone,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4701,1.43,Structural,Anticline,,"1, 2, 3, 661, `094",
giant_oil_and_gas_fields_of_the_world_co_yxz.8,POINT (44.916667 34.083333),6,Mansuriyah,,E,MIDDLE EAST,Iraq,,34.083333,44.916667,B,Onshore,1978,Gas,Giant,600,253.726,50,3.3,-99999.99,99.001,243.722,418.455,2024,Mesopotamian Foredeep Basin,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,4003,1.22,Structural,Anticline,,"3, 77, 686, 883",
giant_oil_and_gas_fields_of_the_world_co_yxz.9,POINT (51.5 35),7,Saradjeh,Serajeh,E,MIDDLE EAST,Iran,,35,51.5,B,Onshore,1958,Gas,Giant,833.333,214.715,-99999.99,5,-99999.99,34.385,169.277,440.484,2091,Central Iranian Basins,BS000000018,CENTRAL IRAN - KAVIR,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,12180,3.71,Structural,Anticline,,"1, 2, 65, 993",
giant_oil_and_gas_fields_of_the_world_co_yxz.10,POINT (49.933333 31),8,Paris,Faris,E,MIDDLE EAST,Iran,,31,49.933333,B,Onshore,1964,Gas,Giant,3825,1130.96,3000,4.95,-99999.99,239.203,956.532,2197.144,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Cenozoic,Paleogene,Oligocene,,CZ_PG_OLI,5000,1.52,Structural,Anticline,,"1, 2",
giant_oil_and_gas_fields_of_the_world_co_yxz.11,POINT (0.4 42.583333),9,Serrablo,,C,WESTERN EUROPE,Spain,,42.583333,0.4,B,Onshore,1979,Gas,Giant,583.333,253.658,-99999.99,3.5,-99999.99,103.158,245.307,412.509,4044,Pyrenean Foothills-Ebro Basin,BS000000743,SOUTH PYRENEAN,TYPE 2,,CARBONATE,carbonate turbidite megabreccias,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,6500,1.98,Structural,Anticline,,"2, 493, 549",Tellus classification based on proximity
giant_oil_and_gas_fields_of_the_world_co_yxz.12,POINT (69.2 28.65),10,Sui,,G,ASIA AND OCEANIA,Pakistan,,28.65,69.2,B,Onshore,1952,Gas,Giant,1872.687,423.62,-99999.99,11.236,-99999.99,50.985,308.996,910.878,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,3675,1.12,Structural,Anticline,,"1, 2, 3, 38, 726, 728",
giant_oil_and_gas_fields_of_the_world_co_yxz.13,POINT (68.620833 28.641667),11,Uch,,G,ASIA AND OCEANIA,Pakistan,,28.641667,68.620833,B,Onshore,1955,Gas,Giant,675,162.821,-99999.99,4.05,-99999.99,22.624,123.577,342.261,8025,Sulaiman-Kirthar,BS000000036,SULAIMAN FOLDBELT,TYPE 2,,CARBONATE,limestone,Cenozoic,Paleogene,Eocene,,CZ_PG_EOC,3281,1,Structural,Anticline,,"3, 38, 554",
giant_oil_and_gas_fields_of_the_world_co_yxz.14,POINT (62.483333 39.333333),12,Bagadzhin,,D,EASTERN EUROPE AND FORMER USSR,Turkmenistan,,39.333333,62.483333,B,Onshore,1971,Gas,Giant,1583.333,555.876,-99999.99,9.5,-99999.99,160.836,504.636,1002.155,1154,Amu-Darya Basin,BS000000066,AMU-DAR'YA,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,10100,3.08,Structural,Anticline,,2,
